Date,Open,High,Low,Close,Adj Close,Volume
2011-07-20,255.839996,256.309998,252.000000,252.529999,199.700012,4681000
2011-07-21,251.860001,252.380005,246.399994,247.919998,196.054443,12203725
2011-07-22,249.449997,262.399994,248.199997,259.380005,205.116959,21087915
2011-07-25,258.940002,268.000000,258.670013,267.450012,211.498703,12150640
2011-07-26,267.000000,268.000000,261.119995,263.910004,208.699265,10951515
2011-07-27,264.399994,264.970001,258.750000,260.100006,205.686340,7148625
2011-07-28,257.000000,261.589996,257.000000,260.299988,205.844482,6765025
2011-07-29,260.000000,268.399994,258.480011,267.500000,211.538254,9254860
2011-08-01,269.799988,273.510010,269.299988,270.600006,213.989731,6133050
2011-08-02,269.000000,269.589996,265.220001,268.559998,212.376511,4850430
2011-08-03,266.140015,266.140015,258.549988,260.230011,205.789139,9169615
2011-08-04,260.720001,262.559998,256.200012,257.190002,203.385101,7848375
2011-08-05,249.000000,250.500000,240.000000,248.410004,196.441925,15628460
2011-08-08,241.039993,253.160004,240.110001,247.089996,195.398071,8300890
2011-08-09,238.100006,247.660004,236.179993,241.039993,190.613739,18090930
2011-08-10,248.399994,250.740005,245.059998,250.020004,197.715118,9516980
2011-08-11,247.399994,250.500000,241.240005,242.169998,191.507355,9349310
2011-08-12,245.899994,246.149994,238.639999,241.850006,191.254288,7980730
2011-08-16,245.389999,246.149994,241.330002,242.490005,191.760422,7184500
2011-08-17,241.449997,245.330002,233.429993,233.960007,185.014923,10824105
2011-08-18,234.539993,235.000000,220.199997,221.660004,175.288116,1961760
2011-08-19,219.630005,220.000000,208.199997,213.919998,169.167313,15966050
2011-08-22,215.029999,215.600006,205.240005,210.220001,166.241379,12491505
2011-08-23,211.600006,220.580002,210.199997,216.710007,171.373672,12693050
2011-08-24,215.710007,222.880005,207.199997,209.940002,166.019958,12395595
2011-08-25,211.000000,212.740005,201.039993,203.850006,161.203995,19345960
2011-08-26,205.190002,206.369995,198.360001,200.059998,158.206879,10980215
2011-08-29,203.800003,210.389999,203.100006,207.889999,164.398819,11080275
2011-08-30,212.000000,216.000000,210.990005,214.550003,169.665512,9426925
2011-09-02,220.800003,221.940002,209.619995,216.080002,170.875473,11090720
2011-09-05,214.720001,224.949997,211.600006,222.889999,176.260788,13737055
2011-09-06,221.800003,229.800003,217.020004,228.089996,180.372925,15091680
2011-09-07,228.300003,231.800003,227.789993,228.690002,180.847397,10098150
2011-09-08,228.309998,232.169998,225.279999,230.110001,181.970322,12449725
2011-09-09,229.440002,230.779999,219.259995,220.660004,174.497314,11559455
2011-09-12,218.000000,218.399994,208.500000,210.309998,166.312546,7030250
2011-09-13,211.059998,215.710007,207.800003,209.970001,166.043671,7750235
2011-09-14,211.000000,218.919998,208.649994,217.740005,172.188187,10823220
2011-09-15,219.339996,224.600006,213.330002,223.139999,176.458481,9527160
2011-09-16,226.199997,228.190002,221.139999,226.669998,179.250015,16317510
2011-09-19,224.960007,224.960007,219.800003,220.929993,174.710815,6504100
2011-09-20,220.259995,229.979996,219.800003,228.779999,180.918579,7609115
2011-09-21,228.619995,232.199997,226.050003,231.320007,182.927216,12873220
2011-09-22,226.199997,227.179993,221.399994,222.479996,175.936569,9979475
2011-09-23,220.020004,223.190002,213.080002,217.369995,171.895569,13703975
2011-09-26,216.679993,216.880005,207.660004,211.199997,167.016357,13580105
2011-09-27,214.800003,219.000000,213.000000,217.600006,172.077469,9597470
2011-09-28,218.199997,219.199997,213.089996,214.539993,169.657639,10083715
2011-09-29,212.800003,216.100006,211.020004,213.949997,169.191055,10926140
2011-09-30,212.440002,212.600006,202.119995,203.779999,161.148636,14635020
2011-10-03,200.600006,201.000000,196.000000,197.699997,156.340591,9969910
2011-10-04,196.880005,199.279999,190.199997,191.949997,151.793518,16141740
2011-10-05,194.399994,195.000000,189.039993,190.399994,150.567780,10903735
2011-10-07,195.429993,207.699997,195.429993,206.059998,162.951675,12722505
2011-10-10,206.000000,211.000000,203.369995,209.770004,165.885513,7355710
